titles,interviewee,url
【视频】UED大师讲堂——承孝相：地文,2014年6月6日，韩国知名建筑师承孝相，受由《城市·环境·设计》（UED）杂志社、深...,http://www.chinabuildingcentre.com/show-41-710-1.html
【视频】UED大师讲堂——布兰登·麦克法兰“场所与身份”,2014年4月25日晚，UED大师讲堂-布兰登·麦克法兰“场所与身份”讲座在深圳华夏艺术...,http://www.chinabuildingcentre.com/show-41-709-1.html
【视频】UED大师讲堂——汤姆·梅恩(Thom Mayne),汤姆·梅恩以“公共精神(Public-ness)”为主题，结合十多个案例，分享了自己对于城...,http://www.chinabuildingcentre.com/show-41-708-1.html
【视频】UED大师讲堂—丹尼尔里伯斯金：建筑是一种语言,美籍犹太裔丹尼尔 里伯斯金(Daniel Libeskind)1946年出生于波兰一个纳粹大屠杀幸...,http://www.chinabuildingcentre.com/show-41-706-1.html
面向未来的产业园景观设计·阿普贝思邹裕波总裁-实战培训回访交流,快速化的城市建设横生出诸多建设项目。作为维持企业运转的支撑点，项目的魅力令人...,http://www.chinabuildingcentre.com/show-41-693-1.html
蓝天组Prix访谈：建筑可以像云一样,UED：请问您的事务所为何叫做蓝天组(CoopHimmelb(l)au)？您的建筑设计风格与蓝天有...,http://www.chinabuildingcentre.com/show-41-690-1.html
包赞巴克的摩天楼情结：纽约高层设计,除了文化类的建筑项目，摩天大楼也是克里斯蒂安&bull;德&bull;包赞巴克设计实践的...,http://www.chinabuildingcentre.com/show-41-689-1.html
包赞巴克：让空间变得快乐起来,曾经有人形容，和自己的建筑设计相比，法国建筑师克里斯蒂安 德 包赞巴克(Christ...,http://www.chinabuildingcentre.com/show-41-688-1.html
充满梦幻的埃尔热丁丁博物馆,丁丁历险记的作者埃尔热先生的夫人Fanny Rodwell 希望建一座博物馆来纪念他的丈...,http://www.chinabuildingcentre.com/show-41-687-1.html
来自普利兹克奖的赞誉——包赞巴克的巴黎音乐城,巴黎音乐城项目是克里斯蒂安&bull;德&bull;包赞巴克先生最重要的代表作之一，与其...,http://www.chinabuildingcentre.com/show-41-686-1.html
坚持做事“不糊弄”——专访DDON•笛东总裁兼首席设计师袁松亭,撰稿：UED 苏倩DDON·笛东经过短短6年的时间，已然发展为中国设计界一支异军突起...,http://www.chinabuildingcentre.com/show-41-685-1.html
伊东丰雄：超越现代主义建筑,文 婷玉拆东西，有人称之为解析彩虹。可人们就是放弃了感性与想象力，甘愿囚禁于...,http://www.chinabuildingcentre.com/show-41-684-1.html
用心是献给读者最好的礼物：UED荣获“中国最美期刊”称号,在刚刚结束的2014年度中国最美期刊遴选活动中，《城市环境设计》杂志（UED），荣幸...,http://www.chinabuildingcentre.com/show-41-683-1.html
萌萌哒建筑师与汪星人,无印良品的设计总监，设计师原研哉先生邀请了十二组建筑师为汪星人设计专属的空间...,http://www.chinabuildingcentre.com/show-41-682-1.html
“与鸟为伴”——槃达建筑 AIM野奢传奇帐篷酒店竞赛方案,针对帐篷酒店竞赛方案，我们基于三个核心理念：一个生态可持续的项目；一个灵活开...,http://www.chinabuildingcentre.com/show-41-681-1.html
脑洞大开！僵尸避难所建筑设计大赛作品搜集,建筑设计公司Architects Southwest 于2010年发起了第一届僵尸避难所设计大赛，没...,http://www.chinabuildingcentre.com/show-41-680-1.html
转回去临摹吧！那些销魂的古代欧洲建筑图纸,editor tingyu柯布西耶曾说，照相机阻挡了观察。相机既无需对事物作高度的选择，...,http://www.chinabuildingcentre.com/show-41-679-1.html
谈之为竹，构之以情——Peter Lynch分享竹子作为建构材料的纯与不纯,竹子之于我们的生活可谓无处不在。苏轼就曾发出无竹令人俗感慨。如今，竹材研究被...,http://www.chinabuildingcentre.com/show-41-678-1.html
从西方概念到全球意识——方振宁十问雷姆·库哈斯,编辑   刘婷玉方振宁：记得你在1995 年于东京举行了你和OMA 的展览，对东京以...,http://www.chinabuildingcentre.com/show-41-677-1.html
遂心，随性——周榕对话李兴钢,编辑   赵迪关乎思想资源周榕 ：刚写完一篇有关兴钢作品的评论，在写作过程中...,http://www.chinabuildingcentre.com/show-41-676-1.html
李兴钢与周榕十问友朋,编辑   赵迪论十年，能见证事务所的稳步发展，可回顾建筑师的摸索奋进；论胜景...,http://www.chinabuildingcentre.com/show-41-675-1.html
OMA 在中国 ：与“文化误区”和谐共处,文   Roberto Requejo OMA 高级建筑师多面中国在中国工作会面临多种情况 ：...,http://www.chinabuildingcentre.com/show-41-674-1.html
OMA 在韩国 ：逆境中的事业,文   Yunhee Jeong OMA高级建筑师韩国的经济发展计划在 20 世纪 60 年代...,http://www.chinabuildingcentre.com/show-41-673-1.html
OMA 在东南亚 ：机遇与挑战并存,文   Michael Kokora OMA 协理东南亚的魅力令人难以抗拒，美丽的自然风光、...,http://www.chinabuildingcentre.com/show-41-672-1.html
OMA 在澳大利亚 ：澳大利亚文脉与非传统项目采购法,文   Ricky Suen OMA 建筑师澳大利亚是世界上最富有、中产阶级财富和人均财...,http://www.chinabuildingcentre.com/show-41-671-1.html
深挖亚洲文脉，致力本土设计——大卫·希艾莱特与刘珩对谈,大卫·希艾莱特(David Gianotten)大卫·希艾莱特(David Gianotten)于2008年加入O...,http://www.chinabuildingcentre.com/show-41-670-1.html
“建筑·城市·文化”研究激发创作灵感,凡事预则立——建筑·城市·文化研究激发创作灵感文   大卫·希艾莱特 OMA合伙...,http://www.chinabuildingcentre.com/show-41-669-1.html
一如体玄，兀尔忘缘——姚仁喜的建筑禅意,文 婷玉 摄影 谭唯一7月26日，台湾建筑大师姚仁喜先生走进中国建筑设计研究院和...,http://www.chinabuildingcentre.com/show-41-668-1.html
姚任祥：跟姚先生工作就像打乒乓,受访人   姚任祥 姚仁喜夫人，姚仁喜 | 大元建筑工场资深合伙人采访人   ...,http://www.chinabuildingcentre.com/show-41-667-1.html
赵晓农：跟姚先生开会一定要带上“文房四宝”,受访人   赵晓农 会元设计咨询（上海）有限公司合伙人、建筑总经理采访人  ...,http://www.chinabuildingcentre.com/show-41-666-1.html
天使，可以同时身在两地！,文   阮庆岳 元智大学 艺术与设计学系教授原文刊载于《ARCHITEECTURE OF KR...,http://www.chinabuildingcentre.com/show-41-665-1.html
